Code No,Item,Unit,Quantity,Min,Max,Date
3028,Chinese Cabbage,Quintal,2,2000.0,2500.0,2025-04-14
3029,Red Cabbage,Quintal,4,1000.0,2000.0,2025-04-14
3031,Baby Corn,Quintal,3,4000.0,5000.0,2025-04-14
3032,Zucchini,Quintal,14,2500.0,3000.0,2025-04-14
3033,Cherry Tomato,Quintal,1,2500.0,3000.0,2025-04-14
3034,Lettuce,Quintal,2,200.0,2000.0,2025-04-14
3035,Celery,Quintal,5,1000.0,3000.0,2025-04-14
3036,Mushroom,Quintal,6,10000.0,12000.0,2025-04-14
3037,Lotus Root,Quintal,5,4500.0,5000.0,2025-04-14
3039,Romaine Lettuce,Quintal,1,2500.0,3000.0,2025-04-14
3040,Leeks,Quintal,1,2000.0,2500.0,2025-04-14
3042,Chinese Garlic,Quintal,2,4000.0,7000.0,2025-04-14
3001,Coriander,Per Hundred,174890,500.0,1200.0,2025-04-14
3002,Fenugreek,Per Hundred,60225,500.0,1500.0,2025-04-14
3003,Dill,Per Hundred,15775,500.0,800.0,2025-04-14
3004,Spring Onion,Per Hundred,11870,400.0,1500.0,2025-04-14
3005,Spinach,Per Hundred,13420,500.0,1000.0,2025-04-14
3006,Radish,Per Hundred,1150,500.0,1200.0,2025-04-14
3007,Amaranth Leaves,Per Hundred,3550,500.0,700.0,2025-04-14
3008,Mustard,Per Hundred,190,500.0,800.0,2025-04-14
3009,Amaranth,Per Hundred,1450,500.0,800.0,2025-04-14
3011,Mint,Per Hundred,22550,200.0,500.0,2025-04-14
3015,Roselle,Per Hundred,450,500.0,700.0,2025-04-14
3016,Chia,Per Hundred,600,500.0,1000.0,2025-04-14
3022,Iceberg Lettuce,Quintal,15,2000.0,2500.0,2025-04-14
4001,Lemon,Quintal,380,500.0,6000.0,2025-04-14
4002,Guava,Quintal,172,1000.0,4000.0,2025-04-14
4005,Jackfruit,Quintal,75,1500.0,1700.0,2025-04-14
4007,Pear,Quintal,31,4000.0,8000.0,2025-04-14
4034,Jamun,Quintal,94,5000.0,10000.0,2025-04-14
4038,Pineapple,Quintal,471,2000.0,5000.0,2025-04-14
4044,Fig,Quintal,38,4000.0,10000.0,2025-04-14
4049,Strawberry,Quintal,2,10000.0,15000.0,2025-04-14
4054,Sapodilla,Quintal,170,2000.0,5000.0,2025-04-14
4059,Pomegranate - No.1,Quintal,637,2000.0,15000.0,2025-04-14
4063,Apple - Shimla,Quintal,274,3000.0,11500.0,2025-04-14
4074,Karonda,Quintal,1919,500.0,1200.0,2025-04-14
4081,Amla,Quintal,20,2500.0,3000.0,2025-04-14
4086,Banana,Quintal,59,500.0,1500.0,2025-04-14
4088,Sweet Lime,Quintal,323,3000.0,6000.0,2025-04-14
4102,Papaya,Quintal,233,1000.0,2000.0,2025-04-14
4142,Grapes - Tasgaon,Quintal,709,3000.0,10000.0,2025-04-14
5003,Rice - Basmati,Quintal,38,7200.0,12400.0,2025-04-13
5004,Rice - Basmati Dubar,Quintal,793,5400.0,6800.0,2025-04-13
5005,Rice - Mogara,Quintal,540,4500.0,6200.0,2025-04-13
5006,Rice Flakes,Quintal,622,3500.0,4000.0,2025-04-13
5007,Rice - Ambemohar,Quintal,40,6400.0,8400.0,2025-04-13
5008,Rice - Kolam,Quintal,675,4300.0,7000.0,2025-04-13
5010,Rice - Dass,Quintal,652,3500.0,3800.0,2025-04-13
5011,Rice - Ukada,Quintal,410,3300.0,4600.0,2025-04-13
5012,Rice - Masuri,Quintal,435,3400.0,4000.0,2025-04-13
5013,Rice - Indrayani,Quintal,105,4500.0,6000.0,2025-04-13
5015,Wheat - Lokwan,Quintal,2590,3200.0,3800.0,2025-04-13
5017,Wheat - Gujarat Vinat,Quintal,677,3300.0,4400.0,2025-04-13
5018,Wheat - Gujarat Tukdi,Quintal,447,3400.0,4600.0,2025-04-13
5019,Wheat - Sinhor,Quintal,440,3800.0,5800.0,2025-04-13
5021,Sorghum - Maldandi No.1,Quintal,755,4600.0,5000.0,2025-04-13
5022,Sorghum - Maldandi No.2,Quintal,437,4300.0,4800.0,2025-04-13
5024,Sorghum - Vasant No.9,Quintal,552,4100.0,4400.0,2025-04-13
5025,Sorghum - Duri,Quintal,418,4000.0,4500.0,2025-04-13
5026,Pearl Millet - Gowran,Quintal,554,2700.0,2800.0,2025-04-13
5027,Pearl Millet - Hybrid,Quintal,388,2800.0,3000.0,2025-04-13
5028,Pearl Millet - Mahico No.910,Quintal,395,3000.0,3200.0,2025-04-13
5030,Peas - Green,Quintal,43,10300.0,11500.0,2025-04-13
5031,Peas - White,Quintal,40,4500.0,5700.0,2025-04-13
5033,Lentil,Quintal,39,6900.0,7200.0,2025-04-13
5035,Coriander - Indore,Quintal,1,11000.0,13500.0,2025-04-13
5036,Coriander - Gowran,Quintal,3,10000.0,12000.0,2025-04-13
5037,Chickpeas - Chafa,Quintal,43,7300.0,8200.0,2025-04-13
5038,Chickpeas - Hybrid,Quintal,40,7100.0,8000.0,2025-04-13
5041,Black Gram,Quintal,4,9000.0,10000.0,2025-04-13
5043,Maize - Red,Quintal,3,2500.0,2700.0,2025-04-13
5045,Tamarind - Old,Quintal,4,6500.0,7500.0,2025-04-13
5046,Tamarind - New,Quintal,4,9000.0,11000.0,2025-04-13
5047,Peanut - Gunguru,Quintal,789,9600.0,10200.0,2025-04-13
5048,Peanut - Jara,Quintal,329,9800.0,10400.0,2025-04-13
5049,Peanut - Spanish,Quintal,436,10600.0,11800.0,2025-04-13
5050,Turmeric - Rajapuri,Quintal,2,14000.0,20000.0,2025-04-13
5054,Green Gram,Quintal,45,8800.0,9900.0,2025-04-13
5057,Horse Gram,Quintal,7,5400.0,6400.0,2025-04-13
5058,Cowpea,Quintal,6,10200.0,12200.0,2025-04-13
5061,Finger Millet,Quintal,3,4400.0,5000.0,2025-04-13
5063,Jaggery - Type 1,Quintal,324,3861.0,4051.0,2025-04-13
5064,Jaggery - Type 2,Quintal,179,3701.0,3851.0,2025-04-13
5065,Red Jaggery,Quintal,225,3525.0,3675.0,2025-04-13
5067,Box Jaggery,Quintal,265,3700.0,4300.0,2025-04-13
5068,Red Chilli - Byadgi,Quintal,15,16000.0,20000.0,2025-04-13
5069,Red Chilli - Guntur,Quintal,10,14000.0,18000.0,2025-04-13
6009,Dates,10 Kg,1510,500.0,1500.0,2025-04-13
6011,Grated Coconut,25 Kg,1644,2820.0,2980.0,2025-04-13
6018,Amaranth,50 Kg,1262,6500.0,7500.0,2025-04-13
1001,Onion,Quintal,13888,600.0,1400.0,2025-04-12
1002,Potato,Quintal,8018,1000.0,2000.0,2025-04-12
1003,Garlic,Quintal,2502,3500.0,10000.0,2025-04-12
1004,Ginger,Quintal,431,1000.0,2500.0,2025-04-12
2001,Ladyfinger,Quintal,385,2000.0,4500.0,2025-04-12
2002,Cluster Beans,Quintal,204,3000.0,6000.0,2025-04-12
2003,Tomato,Quintal,2376,500.0,1200.0,2025-04-12
2004,Peas,Quintal,224,5000.0,8000.0,2025-04-12
2005,Ridge Gourd,Quintal,223,3000.0,5000.0,2025-04-12
2006,Tinda,Quintal,178,2000.0,4000.0,2025-04-12
2007,Green Chilli,Quintal,856,2800.0,5000.0,2025-04-12
2008,Bottle Gourd,Quintal,258,1000.0,2000.0,2025-04-12
2010,Cucumber,Quintal,1096,1000.0,2200.0,2025-04-12
2011,Bitter Gourd,Quintal,105,2000.0,3000.0,2025-04-12
2012,Yam,Quintal,166,600.0,1500.0,2025-04-12
2013,Carrot,Quintal,715,1000.0,2000.0,2025-04-12
2014,Snake Gourd,Quintal,6,2500.0,4500.0,2025-04-12
2015,Pointed Gourd,Quintal,14,2000.0,2500.0,2025-04-12
2016,Cauliflower,Quintal,744,1000.0,2000.0,2025-04-12
2017,Cabbage,Quintal,848,300.0,800.0,2025-04-12
2018,Brinjal,Quintal,351,1000.0,4000.0,2025-04-12
2019,Pumpkin,Quintal,356,1000.0,3000.0,2025-04-12
2020,Elephant Foot Yam,Quintal,7,1500.0,5000.0,2025-04-12
2021,Ivy Gourd,Quintal,56,2500.0,4000.0,2025-04-12
2022,Beetroot,Quintal,207,700.0,1500.0,2025-04-12
2023,Ash Gourd,Quintal,57,1000.0,2000.0,2025-04-12
2024,Parwal,Quintal,4,4000.0,6000.0,2025-04-12
2026,Hyacinth Beans,Quintal,23,3000.0,5000.0,2025-04-12
2027,Drumstick,Quintal,331,1000.0,3000.0,2025-04-12
2028,Raw Mango,Quintal,741,1500.0,5000.0,2025-04-12
2029,Chow Chow,Quintal,30,1500.0,3000.0,2025-04-12
2032,Amaranth Leaves,Quintal,63,1500.0,3000.0,2025-04-12
2033,Taro,Quintal,67,1500.0,2800.0,2025-04-12
2035,Pointed Gourd,Quintal,37,5000.0,6000.0,2025-04-12
2036,Zucchini,Quintal,47,2000.0,3000.0,2025-04-12
2037,Curry Leaves,Quintal,51,2000.0,6000.0,2025-04-12
2040,Colocasia,Quintal,8,1600.0,4000.0,2025-04-12
3023,Red and Yellow Pumpkin,Quintal,11,3000.0,4000.0,2025-04-12
3024,Basil,Quintal,1,3500.0,4000.0,2025-04-12
3025,Broccoli,Quintal,28,3000.0,6000.0,2025-04-12
3028,Chinese Cabbage,Quintal,1,2000.0,2500.0,2025-04-12
3029,Red Cabbage,Quintal,4,1000.0,2000.0,2025-04-12
3030,Avocado,Quintal,6,7000.0,7500.0,2025-04-12
3031,Baby Corn,Quintal,3,4000.0,5000.0,2025-04-12
3032,Zucchini,Quintal,9,2000.0,3000.0,2025-04-12
3033,Cherry Tomato,Quintal,1,2500.0,3000.0,2025-04-12
3034,Lettuce,Quintal,1,200.0,2000.0,2025-04-12
3035,Celery,Quintal,5,1000.0,4000.0,2025-04-12
3036,Mushroom,Quintal,5,10000.0,12000.0,2025-04-12
3042,Chinese Garlic,Quintal,2,4000.0,7000.0,2025-04-12
3001,Coriander,Per Hundred,176325,500.0,1000.0,2025-04-12
3002,Fenugreek,Per Hundred,55435,600.0,1600.0,2025-04-12
3003,Dill,Per Hundred,6075,500.0,700.0,2025-04-12
3004,Spring Onion,Per Hundred,9300,500.0,1200.0,2025-04-12
3005,Spinach,Per Hundred,7700,400.0,1200.0,2025-04-12
3006,Radish,Per Hundred,2560,500.0,1500.0,2025-04-12
3007,Amaranth Leaves,Per Hundred,2150,500.0,800.0,2025-04-12
3009,Amaranth,Per Hundred,2100,500.0,800.0,2025-04-12
3011,Mint,Per Hundred,20300,200.0,500.0,2025-04-12
3015,Roselle,Per Hundred,400,500.0,800.0,2025-04-12
3016,Chia,Per Hundred,769,600.0,800.0,2025-04-12
3022,Iceberg Lettuce,Quintal,12,2000.0,3000.0,2025-04-12
4001,Lemon,Quintal,318,500.0,5500.0,2025-04-12
4002,Guava,Quintal,147,1500.0,4000.0,2025-04-12
4005,Jackfruit,Quintal,12,1500.0,2000.0,2025-04-12
4007,Pear,Quintal,29,5500.0,7500.0,2025-04-12
4034,Jamun,Quintal,68,5000.0,10000.0,2025-04-12
4038,Pineapple,Quintal,183,2400.0,5000.0,2025-04-12
4044,Fig,Quintal,37,5000.0,10000.0,2025-04-12
4049,Strawberry,Quintal,1,10000.0,20000.0,2025-04-12
4054,Sapodilla,Quintal,160,1500.0,4000.0,2025-04-12
4059,Pomegranate - No.1,Quintal,531,2000.0,15000.0,2025-04-12
4063,Apple - Shimla,Quintal,226,3000.0,13000.0,2025-04-12
4074,Karonda,Quintal,2052,500.0,1200.0,2025-04-12
4081,Amla,Quintal,27,2500.0,3000.0,2025-04-12
4086,Banana,Quintal,17,500.0,1500.0,2025-04-12
4088,Sweet Lime,Quintal,307,3000.0,6600.0,2025-04-12
4102,Papaya,Quintal,202,700.0,2000.0,2025-04-12
4142,Grapes - Tasgaon,Quintal,678,2000.0,10000.0,2025-04-12
5003,Rice - Basmati,Quintal,41,7000.0,12300.0,2025-04-12
5004,Rice - Basmati Dubar,Quintal,793,5600.0,6800.0,2025-04-12
5005,Rice - Mogara,Quintal,540,4400.0,6400.0,2025-04-12
5006,Rice Flakes,Quintal,629,3500.0,4000.0,2025-04-12
5007,Rice - Ambemohar,Quintal,43,6300.0,8500.0,2025-04-12
5008,Rice - Kolam,Quintal,683,4400.0,6800.0,2025-04-12
5010,Rice - Dass,Quintal,682,3400.0,3900.0,2025-04-12
5011,Rice - Ukada,Quintal,399,3300.0,4400.0,2025-04-12
5012,Rice - Masuri,Quintal,426,3200.0,3800.0,2025-04-12
5013,Rice - Indrayani,Quintal,102,4500.0,6000.0,2025-04-12
5015,Wheat - Lokwan,Quintal,2598,3000.0,4000.0,2025-04-12
5017,Wheat - Gujarat Vinat,Quintal,677,3300.0,4400.0,2025-04-12
5018,Wheat - Gujarat Tukdi,Quintal,475,3400.0,4600.0,2025-04-12
5019,Wheat - Sinhor,Quintal,443,3500.0,5800.0,2025-04-12
5021,Sorghum - Maldandi No.1,Quintal,751,4600.0,5000.0,2025-04-12
5022,Sorghum - Maldandi No.2,Quintal,437,4400.0,4700.0,2025-04-12
5024,Sorghum - Vasant No.9,Quintal,548,4200.0,4400.0,2025-04-12
5025,Sorghum - Duri,Quintal,412,4000.0,4500.0,2025-04-12
5026,Pearl Millet - Gowran,Quintal,552,2700.0,2900.0,2025-04-12
5027,Pearl Millet - Hybrid,Quintal,380,2900.0,3000.0,2025-04-12
5028,Pearl Millet - Mahico No.910,Quintal,387,3000.0,3200.0,2025-04-12
5030,Peas - Green,Quintal,43,10200.0,11400.0,2025-04-12
5031,Peas - White,Quintal,37,4500.0,5700.0,2025-04-12
5033,Lentil,Quintal,41,6900.0,7200.0,2025-04-12
5035,Coriander - Indore,Quintal,3,10000.0,13000.0,2025-04-12
5036,Coriander - Gowran,Quintal,4,9500.0,10500.0,2025-04-12
5037,Chickpeas - Chafa,Quintal,40,7400.0,8200.0,2025-04-12
5038,Chickpeas - Hybrid,Quintal,39,7200.0,8000.0,2025-04-12
5041,Black Gram,Quintal,5,8800.0,9800.0,2025-04-12
5043,Maize - Red,Quintal,4,2400.0,2600.0,2025-04-12
5045,Tamarind - Old,Quintal,4,7000.0,8000.0,2025-04-12
5046,Tamarind - New,Quintal,4,9000.0,11000.0,2025-04-12
5047,Peanut - Gunguru,Quintal,788,9600.0,10000.0,2025-04-12
5048,Peanut - Jara,Quintal,329,9800.0,11300.0,2025-04-12
5049,Peanut - Spanish,Quintal,445,10500.0,12000.0,2025-04-12
5050,Turmeric - Rajapuri,Quintal,2,15000.0,21000.0,2025-04-12
5054,Green Gram,Quintal,44,8800.0,9900.0,2025-04-12
5057,Horse Gram,Quintal,5,5400.0,6600.0,2025-04-12
5058,Cowpea,Quintal,7,10000.0,12200.0,2025-04-12
5061,Finger Millet,Quintal,2,4300.0,5300.0,2025-04-12
5063,Jaggery - Type 1,Quintal,336,3775.0,4015.0,2025-04-12
5064,Jaggery - Type 2,Quintal,188,3651.0,3751.0,2025-04-12
5065,Red Jaggery,Quintal,218,3525.0,3625.0,2025-04-12
5067,Box Jaggery,Quintal,260,3700.0,4200.0,2025-04-12
5068,Red Chilli - Byadgi,Quintal,15,16000.0,20000.0,2025-04-12
5069,Red Chilli - Guntur,Quintal,13,15000.0,18000.0,2025-04-12
6009,Dates,10 Kg,1509,400.0,1300.0,2025-04-12
6011,Grated Coconut,25 Kg,1644,2860.0,2980.0,2025-04-12
6018,Amaranth,50 Kg,1255,6500.0,7500.0,2025-04-12
7001,Jasmine,1 Kg,1092,500.0,700.0,2025-04-12
7002,Marigold,1 Kg,144,200.0,300.0,2025-04-12
7003,Jasmine,1 Kg,5,400.0,600.0,2025-04-12
7005,Tube Rose,1 Kg,4896,100.0,200.0,2025-04-12
7006,Marigold,1 Kg,36396,40.0,80.0,2025-04-12
7007,Holy Basil,1 Kg,2268,40.0,80.0,2025-04-12
7009,Lightning,1 Kg,2460,60.0,120.0,2025-04-12
7011,White Chrysanthemum,1 Kg,732,100.0,150.0,2025-04-12
7012,Yellow Chrysanthemum,1 Kg,432,100.0,200.0,2025-04-12
7013,Aster,Per Hundred,4902,10.0,20.0,2025-04-12
7014,Galanda,Per Hundred,1620,6.0,10.0,2025-04-12
7015,Lily,Bundle,5772,10.0,20.0,2025-04-12
7016,Rose,Bunch,6684,20.0,40.0,2025-04-12
7018,Tube Rose Stick,Bunch,1452,20.0,30.0,2025-04-12
7020,Golden D.J.,Bunch,1812,20.0,30.0,2025-04-12
7021,Gladiolus Plain,Bunch,492,20.0,30.0,2025-04-12
7027,Tats,Bunch,180,20.0,30.0,2025-04-12
7028,Gypsy,Bunch,324,100.0,200.0,2025-04-12
7031,Gerbera,Bunch,6204,40.0,50.0,2025-04-12
7032,Carnation,Bunch,1062,80.0,150.0,2025-04-12
7033,Dutch Rose,Bunch,5832,60.0,100.0,2025-04-12
7035,Portia Tree,Per Piece,5412,6.0,10.0,2025-04-12
7036,Hibiscus,Per Hundred,252,6.0,10.0,2025-04-12
7039,Orchid,Bunch,324,200.0,400.0,2025-04-12
7040,Anthurium,Bunch,216,80.0,120.0,2025-04-12
7041,Grass,Bunch,3804,10.0,30.0,2025-04-12
7042,Leaf,Bunch,3792,30.0,40.0,2025-04-12
1001,Onion,Quintal,11232,600.0,1600.0,2025-04-11
1002,Potato,Quintal,7947,1200.0,2000.0,2025-04-11
1003,Garlic,Quintal,934,3500.0,10000.0,2025-04-11
1004,Ginger,Quintal,271,1000.0,2500.0,2025-04-11
2001,Ladyfinger,Quintal,466,1400.0,5000.0,2025-04-11
2002,Cluster Beans,Quintal,156,3000.0,6000.0,2025-04-11
2003,Tomato,Quintal,1701,500.0,1200.0,2025-04-11
2004,Peas,Quintal,270,4000.0,8000.0,2025-04-11
2005,Ridge Gourd,Quintal,168,3000.0,5000.0,2025-04-11
2006,Tinda,Quintal,152,2000.0,4000.0,2025-04-11
2007,Green Chilli,Quintal,764,3000.0,4000.0,2025-04-11
2008,Bottle Gourd,Quintal,279,800.0,2000.0,2025-04-11
2010,Cucumber,Quintal,943,1000.0,2200.0,2025-04-11
2011,Bitter Gourd,Quintal,96,2000.0,3000.0,2025-04-11
2012,Yam,Quintal,127,600.0,1500.0,2025-04-11
2013,Carrot,Quintal,619,1000.0,2000.0,2025-04-11
2014,Snake Gourd,Quintal,5,2500.0,5000.0,2025-04-11
2015,Pointed Gourd,Quintal,6,2000.0,2500.0,2025-04-11
2016,Cauliflower,Quintal,929,600.0,1800.0,2025-04-11
2017,Cabbage,Quintal,525,300.0,1000.0,2025-04-11
2018,Brinjal,Quintal,276,1000.0,2500.0,2025-04-11
2019,Pumpkin,Quintal,314,1000.0,3000.0,2025-04-11
2020,Elephant Foot Yam,Quintal,7,1500.0,5000.0,2025-04-11
2021,Ivy Gourd,Quintal,52,2000.0,4000.0,2025-04-11
2022,Beetroot,Quintal,121,500.0,1500.0,2025-04-11
2023,Ash Gourd,Quintal,116,800.0,2000.0,2025-04-11
2026,Hyacinth Beans,Quintal,22,2500.0,5000.0,2025-04-11
2027,Drumstick,Quintal,348,1000.0,3000.0,2025-04-11
2028,Raw Mango,Quintal,341,1500.0,5000.0,2025-04-11
2029,Chow Chow,Quintal,37,1500.0,3000.0,2025-04-11
2032,Amaranth Leaves,Quintal,38,2000.0,3000.0,2025-04-11
2033,Taro,Quintal,31,2000.0,3000.0,2025-04-11
2035,Pointed Gourd,Quintal,32,3000.0,5000.0,2025-04-11
2036,Zucchini,Quintal,44,1500.0,3000.0,2025-04-11
2037,Curry Leaves,Quintal,48,2000.0,6000.0,2025-04-11
2040,Colocasia,Quintal,19,1500.0,4000.0,2025-04-11
3023,Red and Yellow Pumpkin,Quintal,20,3000.0,4000.0,2025-04-11
3024,Basil,Quintal,1,2500.0,3000.0,2025-04-11
3025,Broccoli,Quintal,20,3000.0,4000.0,2025-04-11
3026,Bok Choy,Quintal,1,2500.0,3000.0,2025-04-11
3028,Chinese Cabbage,Quintal,2,2000.0,2500.0,2025-04-11
3029,Red Cabbage,Quintal,5,1000.0,1500.0,2025-04-11
3031,Baby Corn,Quintal,2,4000.0,5000.0,2025-04-11
3032,Zucchini,Quintal,9,2000.0,3000.0,2025-04-11
3033,Cherry Tomato,Quintal,1,1800.0,2500.0,2025-04-11
3034,Lettuce,Quintal,1,200.0,2300.0,2025-04-11
3035,Celery,Quintal,3,1000.0,3000.0,2025-04-11
3036,Mushroom,Quintal,4,10000.0,12000.0,2025-04-11
3037,Lotus Root,Quintal,1,4500.0,5000.0,2025-04-11
3041,Chinese Cucumber,Quintal,2,300.0,1500.0,2025-04-11
3042,Chinese Garlic,Quintal,2,4000.0,7000.0,2025-04-11
3001,Coriander,Per Hundred,137290,400.0,1000.0,2025-04-11
3002,Fenugreek,Per Hundred,45075,500.0,1600.0,2025-04-11
3003,Dill,Per Hundred,6855,400.0,800.0,2025-04-11
3004,Spring Onion,Per Hundred,10500,500.0,1000.0,2025-04-11
3005,Spinach,Per Hundred,8370,500.0,800.0,2025-04-11
3006,Radish,Per Hundred,2020,500.0,1500.0,2025-04-11
3007,Amaranth Leaves,Per Hundred,1150,500.0,800.0,2025-04-11
3008,Mustard,Per Hundred,242,400.0,700.0,2025-04-11
3009,Amaranth,Per Hundred,2500,400.0,700.0,2025-04-11
3011,Mint,Per Hundred,18700,200.0,500.0,2025-04-11
3015,Roselle,Per Hundred,420,400.0,600.0,2025-04-11
3016,Chia,Per Hundred,1620,400.0,1000.0,2025-04-11
3022,Iceberg Lettuce,Quintal,9,2000.0,2500.0,2025-04-11
4001,Lemon,Quintal,298,500.0,5500.0,2025-04-11
4002,Guava,Quintal,160,1500.0,4500.0,2025-04-11
4005,Jackfruit,Quintal,37,1500.0,1800.0,2025-04-11
4007,Pear,Quintal,24,5000.0,9000.0,2025-04-11
4034,Jamun,Quintal,208,5000.0,10000.0,2025-04-11
4038,Pineapple,Quintal,263,3000.0,6600.0,2025-04-11
4044,Fig,Quintal,32,4000.0,10000.0,2025-04-11
4049,Strawberry,Quintal,5,10000.0,20000.0,2025-04-11
4054,Sapodilla,Quintal,237,1500.0,4500.0,2025-04-11
4059,Pomegranate - No.1,Quintal,234,2500.0,15000.0,2025-04-11
4063,Apple - Shimla,Quintal,318,3000.0,11500.0,2025-04-11
4074,Karonda,Quintal,1960,500.0,1200.0,2025-04-11
4081,Amla,Quintal,26,2500.0,3500.0,2025-04-11
4086,Banana,Quintal,30,500.0,1500.0,2025-04-11
4088,Sweet Lime,Quintal,131,4300.0,7500.0,2025-04-11
4102,Papaya,Quintal,185,1000.0,2100.0,2025-04-11
4142,Grapes - Tasgaon,Quintal,618,2500.0,10000.0,2025-04-11
5003,Rice - Basmati,Quintal,38,7200.0,12200.0,2025-04-11
5004,Rice - Basmati Dubar,Quintal,791,5500.0,6800.0,2025-04-11
5005,Rice - Mogara,Quintal,544,4400.0,6200.0,2025-04-11
5006,Rice Flakes,Quintal,625,3400.0,4200.0,2025-04-11
5007,Rice - Ambemohar,Quintal,47,6200.0,8400.0,2025-04-11
5008,Rice - Kolam,Quintal,680,4200.0,6800.0,2025-04-11
5010,Rice - Dass,Quintal,685,3500.0,4000.0,2025-04-11
5011,Rice - Ukada,Quintal,396,3200.0,4600.0,2025-04-11
5012,Rice - Masuri,Quintal,422,3300.0,4000.0,2025-04-11
5013,Rice - Indrayani,Quintal,104,4500.0,6000.0,2025-04-11
5015,Wheat - Lokwan,Quintal,2595,3000.0,3800.0,2025-04-11
5017,Wheat - Gujarat Vinat,Quintal,674,3200.0,4200.0,2025-04-11
5018,Wheat - Gujarat Tukdi,Quintal,472,3500.0,4500.0,2025-04-11
5019,Wheat - Sinhor,Quintal,440,3600.0,5800.0,2025-04-11
5021,Sorghum - Maldandi No.1,Quintal,747,4700.0,5000.0,2025-04-11
5022,Sorghum - Maldandi No.2,Quintal,436,4500.0,4800.0,2025-04-11
5024,Sorghum - Vasant No.9,Quintal,545,4300.0,4500.0,2025-04-11
5025,Sorghum - Duri,Quintal,414,4200.0,4600.0,2025-04-11
5026,Pearl Millet - Gowran,Quintal,550,2750.0,2850.0,2025-04-11
5027,Pearl Millet - Hybrid,Quintal,382,2800.0,2900.0,2025-04-11
5028,Pearl Millet - Mahico No.910,Quintal,390,2900.0,3100.0,2025-04-11
5030,Peas - Green,Quintal,42,10000.0,11500.0,2025-04-11
5031,Peas - White,Quintal,36,4400.0,5600.0,2025-04-11
5033,Lentil,Quintal,40,6800.0,7200.0,2025-04-11
5035,Coriander - Indore,Quintal,2,10000.0,13000.0,2025-04-11
5036,Coriander - Gowran,Quintal,4,9000.0,10000.0,2025-04-11
5037,Chickpeas - Chafa,Quintal,38,7300.0,8200.0,2025-04-11
5038,Chickpeas - Hybrid,Quintal,35,7000.0,8000.0,2025-04-11
5041,Black Gram,Quintal,3,9000.0,9800.0,2025-04-11
5043,Maize - Red,Quintal,2,2400.0,2500.0,2025-04-11
5045,Tamarind - Old,Quintal,2,6500.0,7000.0,2025-04-11
